Latitude,Longitude,Depth/Km,Magnitude,Magnitude Category
42.7997,13.2348,10.5,2.1,Low
42.8208,13.2295,15.3,2.0,Low
42.8032,13.1717,10.1,2.4,Low
42.6252,13.2427,11.2,2.0,Low
42.6198,13.2928,7.0,2.3,Low
42.7888,13.2357,6.9,2.7,Low
42.7518,13.2638,9.9,2.8,Low
42.7848,13.2322,6.7,2.2,Low
42.8495,13.1567,7.3,2.2,Low
42.7487,13.2228,9.8,2.8,Low
42.7968,13.1523,8.5,2.0,Low
42.6192,13.2417,11.6,2.4,Low
42.7917,13.17,11.2,2.4,Low
42.812,13.1813,9.2,2.0,Low
42.618,13.289,6.7,2.8,Low
42.7362,13.2022,9.8,2.4,Low
42.7487,13.1807,9.7,2.1,Low
42.8235,13.2328,8.0,2.3,Low
42.637,13.2608,9.8,2.3,Low
42.6043,13.2285,10.0,2.3,Low
42.7082,13.2275,8.9,2.2,Low
42.7457,13.2258,8.7,2.5,Low
42.7557,13.1452,5.9,2.5,Low
42.7558,13.236,11.1,2.0,Low
42.7,13.1887,8.1,3.0,Low
42.8003,13.159,8.6,2.4,Low
42.7508,13.1993,8.9,2.1,Low
42.7368,13.2267,10.1,2.4,Low
42.7928,13.1868,9.0,2.3,Low
42.6113,13.3187,8.0,2.0,Low
42.6303,13.2373,11.1,2.7,Low
42.8173,13.1315,6.3,2.3,Low
42.7557,13.186,8.0,2.7,Low
42.4938,13.2827,11.1,2.4,Low
42.8013,13.1377,5.1,2.6,Low
42.7927,13.1888,8.9,2.3,Low
42.8012,13.1935,7.4,2.7,Low
42.7992,13.1833,8.3,2.1,Low
42.8047,13.1672,7.4,3.2,Low
42.79600000000001,13.1673,7.5,2.6,Low
42.802,13.1488,8.3,2.6,Low
42.9745,13.1423,8.7,2.4,Low
42.772,13.2267,6.5,2.7,Low
42.6962,13.1193,11.0,2.1,Low
42.79,13.2298,8.1,2.2,Low
42.5765,13.2418,16.6,2.4,Low
42.7915,13.1553,7.8,2.1,Low
42.7838,13.1893,9.5,2.0,Low
42.8117,13.1532,7.2,2.6,Low
42.7292,13.158,10.3,2.2,Low
42.8187,13.1638,10.6,2.2,Low
42.8955,13.1753,9.8,2.0,Low
42.74100000000001,13.2388,7.4,2.4,Low
42.765,13.2245,6.7,2.3,Low
42.7993,13.1863,8.8,3.2,Low
42.8038,13.1625,10.0,2.7,Low
42.8218,13.2433,11.4,2.8,Low
42.6783,13.2342,9.3,2.3,Low
42.8145,13.1635,10.0,2.3,Low
42.7997,13.1553,10.0,2.1,Low
42.868,13.1327,6.4,2.2,Low
42.8162,13.1947,10.2,2.0,Low
42.7692,13.1812,9.5,2.2,Low
42.6045,13.2405,10.5,2.9,Low
42.7917,13.2307,7.3,2.1,Low
42.6883,13.2893,10.2,2.5,Low
42.7763,13.1523,9.4,3.6,Low
42.7765,13.1582,9.4,3.2,Low
42.6075,13.2792,10.5,2.3,Low
42.8302,13.2382,10.1,2.0,Low
42.7308,13.1875,9.9,2.4,Low
42.7248,13.2218,9.8,2.0,Low
42.7252,13.2073,9.0,2.1,Low
42.788,13.1978,8.8,2.9,Low
42.718,13.187,8.6,3.3,Low
42.7118,13.1767,10.6,2.5,Low
42.712,13.220999999999998,5.5,3.1,Low
42.7873,13.1525,7.5,2.4,Low
42.7007,13.1323,10.5,2.8,Low
42.7963,13.2013,7.6,2.5,Low
42.7258,13.2413,9.4,2.3,Low
42.7558,13.1568,7.0,2.1,Low
42.8403,13.1097,7.0,2.0,Low
42.7793,13.1533,11.0,2.5,Low
42.6148,13.3228,7.2,2.0,Low
42.7145,13.2475,9.6,2.4,Low
42.7683,13.2387,10.3,2.0,Low
42.729,13.2907,10.9,2.2,Low
42.679,13.1515,13.3,2.0,Low
42.7143,13.2598,9.6,2.7,Low
42.7845,13.1152,11.0,2.1,Low
42.7382,13.2208,10.8,2.5,Low
42.7708,13.1922,10.2,3.1,Low
42.7337,13.2213,8.1,2.0,Low
42.7755,13.228,10.4,2.1,Low
42.6373,13.2517,12.5,2.2,Low
42.6493,13.2303,10.6,2.1,Low
42.6228,13.2935,6.7,3.2,Low
42.8067,13.1682,9.6,3.3,Low
42.7977,13.2113,9.8,2.3,Low
42.8108,13.1648,9.5,2.8,Low
42.641000000000005,13.3125,10.8,2.0,Low
42.7293,13.2118,9.0,2.9,Low
42.776,13.185,10.1,2.9,Low
42.7923,13.2317,6.8,2.9,Low
42.7372,13.1623,10.7,2.3,Low
42.6372,13.3038,7.3,2.5,Low
42.7973,13.1928,9.6,2.7,Low
42.7573,13.1898,10.4,2.3,Low
42.703,13.2527,13.8,2.5,Low
42.8133,13.1942,14.8,2.7,Low
42.7573,13.1685,10.3,2.4,Low
42.754,13.2168,3.7,2.1,Low
42.8265,13.2725,6.7,3.1,Low
42.7848,13.1368,10.0,2.8,Low
42.7575,13.1775,10.4,2.7,Low
42.821000000000005,13.1627,9.6,2.4,Low
42.8187,13.195,10.3,3.2,Low
42.8112,13.1953,10.2,2.9,Low
42.6535,13.2667,11.8,2.6,Low
42.7627,13.1783,10.5,2.2,Low
42.8063,13.2003,9.1,2.1,Low
42.7735,13.1618,10.2,2.5,Low
42.7623,13.1373,12.9,2.1,Low
42.8118,13.1832,9.3,2.4,Low
42.4708,13.2475,12.4,2.8,Low
42.8123,13.1923,9.5,3.4,Low
42.8173,13.1933,10.6,2.5,Low
42.4798,13.2378,12.8,2.0,Low
42.7282,13.2497,9.2,2.2,Low
42.8212,13.1668,9.9,2.9,Low
42.6618,13.2958,9.0,3.1,Low
42.6097,13.2858,14.4,2.5,Low
42.6102,13.2018,15.2,2.2,Low
42.6372,13.2422,10.8,2.2,Low
42.7807,13.1998,10.8,2.3,Low
42.8167,13.1812,5.7,2.2,Low
42.7102,13.2357,4.2,2.4,Low
42.7925,13.2128,9.7,2.3,Low
42.7437,13.1793,10.5,3.2,Low
42.6535,13.3092,15.8,3.1,Low
42.7883,13.18,7.1,2.2,Low
42.716,13.219,9.6,3.0,Low
42.7392,13.236,8.0,2.5,Low
42.7562,13.1177,8.2,2.8,Low
42.7567,13.119000000000002,6.0,2.7,Low
42.603,13.2325,11.0,3.0,Low
42.7198,13.2137,15.1,2.2,Low
42.7523,13.1072,7.1,2.1,Low
42.8175,13.1602,9.9,2.1,Low
42.7423,13.2328,15.9,2.7,Low
42.8225,13.2377,7.1,2.8,Low
42.6238,13.2363,11.1,2.3,Low
42.6432,13.2282,2.4,2.8,Low
42.8067,13.1563,10.4,2.3,Low
42.8257,13.2152,9.3,2.1,Low
42.7135,13.1822,15.6,2.0,Low
42.7632,13.2063,16.6,2.0,Low
42.7652,13.1663,10.2,2.7,Low
42.6443,13.2522,11.8,2.3,Low
42.7477,13.2557,10.9,2.5,Low
42.7458,13.1927,10.9,3.1,Low
42.7387,13.1668,11.0,2.3,Low
42.8203,13.1613,9.8,2.7,Low
42.8063,13.2233,9.1,2.7,Low
42.7358,13.1957,10.4,2.9,Low
42.8197,13.1602,9.8,4.5,Moderate
42.8332,13.1435,10.2,3.5,Low
42.8243,13.1705,8.8,3.0,Low
42.8347,13.1507,10.3,3.6,Low
42.8282,13.1538,9.7,2.9,Low
42.8207,13.1248,7.8,3.4,Low
42.8053,13.2087,9.1,2.4,Low
42.8352,13.2543,7.0,2.7,Low
42.8363,13.2518,8.6,2.3,Low
42.8213,13.1547,9.7,2.8,Low
42.748000000000005,13.2242,8.8,2.3,Low
42.8047,13.2592,7.8,2.9,Low
42.8192,13.2235,7.8,2.8,Low
42.8095,13.243,7.3,2.6,Low
42.835,13.1613,9.8,2.3,Low
42.7867,13.2115,6.8,2.3,Low
42.6888,13.3113,5.5,3.1,Low
42.7858,13.1497,9.7,2.2,Low
42.6115,13.3178,10.1,2.6,Low
42.6073,13.2627,11.1,2.5,Low
42.7845,13.1757,7.3,2.7,Low
42.7723,13.1872,9.5,2.5,Low
42.6603,13.2013,10.4,2.3,Low
42.7997,13.2403,8.3,3.8,Low
42.801,13.179,10.0,3.2,Low
42.7998,13.1488,9.8,2.5,Low
42.8093,13.1982,9.6,2.7,Low
42.8048,13.2123,9.1,2.6,Low
42.7288,13.1973,8.5,3.2,Low
42.793,13.175,8.8,2.1,Low
42.6313,13.3142,9.8,2.7,Low
42.6887,13.2167,11.0,2.3,Low
42.8067,13.1937,8.3,2.2,Low
42.6477,13.2182,12.0,2.1,Low
42.7973,13.2405,8.9,3.1,Low
42.7352,13.2375,9.4,3.1,Low
42.765,13.1537,9.1,2.5,Low
42.7247,13.2032,8.6,2.7,Low
42.6207,13.2848,7.1,2.6,Low
42.665,13.3062,7.3,2.6,Low
42.6152,13.32,5.9,2.0,Low
42.6208,13.2512,11.4,2.5,Low
42.8183,13.228,9.1,2.2,Low
42.6055,13.2763,10.4,2.9,Low
42.803,13.1897,6.1,2.7,Low
42.8012,13.2493,7.5,3.0,Low
42.6587,13.2147,10.3,4.2,Moderate
42.7593,13.2487,7.8,2.5,Low
42.7388,13.1952,9.9,2.4,Low
42.6182,13.2412,11.2,2.7,Low
42.8043,13.2458,8.7,2.9,Low
42.7968,13.2312,9.3,2.9,Low
42.816,13.1483,10.5,2.2,Low
42.845,13.1123,8.4,2.7,Low
42.6875,13.1873,9.5,2.1,Low
42.7437,13.2648,9.6,2.1,Low
